id;dren;cisco;commune;zap;fokontany;code;name;is_privee;is_eec;is_presco;is_primaire;is_college;is_lycee;is_rurale;village
7024;12;115;11503;11504;1150310;115030030;ECOLE COMMUNAUTAIRE MORAFENO IMERIMANDROSO;0;0;0;1;0;0;1;1150310@MORAFENO
7025;12;115;11503;11504;1150312;115030032;ECOLE COMMUNAUTAIRE TAMBOHORANO;0;0;0;1;0;0;1;1150312@TAMBOHORANO
7026;12;115;11503;11504;1150307;115030033;ECOLE COMMUNAUTAIRE TSARAFARITRA;0;0;0;1;0;0;1;1150307@TSARAFARITRA
7027;12;115;11503;11504;1150313;115030034;ECOLE COMMUNAUTAIRE TSINJORANO;0;0;0;1;0;0;1;1150313@TSINJORANO
7028;12;115;11503;11504;1150303;115030035;EPP AMBOHIMALAZA;0;0;0;1;0;0;1;1150303@AMBOHIMALAZA
7029;12;115;11503;11504;1150305;115030036;EPP AMINAMPANGA;0;0;1;1;0;0;1;1150305@AMINAMPAGA
7030;12;115;11503;11504;1150305;115030037;EPP AMPASIMBE;0;0;0;1;0;0;1;1150305@AMPASIMBE
7031;12;115;11503;11504;1150306;115030038;EPP ANDRANOMIRAFY;0;0;1;1;0;0;1;1150306@ANDRANOMIRAFY
7032;12;115;11509;11503;1150901;115030039;EPP ANDRIAMPOTSY;0;0;1;1;0;0;1;1150901@ANDRIAMPOTSY
7033;12;115;11503;11504;1150308;115030040;EPP ANKOTRABE;0;0;1;1;0;0;1;1150308@ANKOTRABE
7034;12;115;11509;11503;1150902;115030041;EPP ANONOKA;0;0;1;1;0;0;1;1150902@ANONOKA
7035;12;115;11503;11504;1150310;115030042;EPP IMERIMANDROSO;0;0;0;1;0;0;1;1150310@IMERIMANDROSO
7036;12;115;11503;11504;1150306;115030044;LYCEE FENOARIVOBE;0;0;0;0;0;1;1;1150306@ANDRANOMIRAFY
7037;12;115;11503;11504;1150313;115030047;ECOLE COMMUNAUTAIRE AMBOHITSOKINA;0;0;0;1;0;0;1;1150313@AMBOHITSOKINA
7038;12;115;11509;11503;1150903;115030048;ECOLE COMMUNAUTAIRE ANTSOROSOROKA;0;0;0;1;0;0;1;1150903@ANTSOROSOROKA
7039;12;115;11503;11504;1150313;115030049;ECOLE COMMUNAUTAIRE MORAFENO III;0;0;0;1;0;0;1;1150313@MORAFENO III
7040;12;115;11509;11503;1150901;115030050;ECOLE COMMUNAUTAIRE MAHATSINJO;0;0;0;1;0;0;1;1150901@MAHATSINJO
7041;12;115;11503;11504;1150310;115030051;ECOLE COMMUNAUTAIRE VAKONDROKA;0;0;0;1;0;0;1;1150310@VAKONDROKA
7042;12;115;11503;11504;1150304;115030052;ECOLE COMMUNAUTAIRE AMBONIVONDRONA;0;0;1;1;0;0;1;1150304@AMBONIVONDRONA
7043;12;115;11503;11504;1150313;115030053;ECOLE COMMUNAUTAIRE AMBOHIBOAHANGY;0;0;0;1;0;0;1;1150313@AMBOHIBOAHANGY
7044;12;115;11509;11503;1150901;115030054;ECOLE COMMUNAUTAIRE AMBALAMIANDRY;0;0;0;1;0;0;1;1150901@AMBALAMIANDRY
7045;12;115;11509;11504;1150901;115030055;CEG ANDRIAMPOTSY;0;0;0;0;1;0;1;1150901@ANDRIAMPOTRSY
7046;12;115;11503;11504;1150308;115030056;CEG ANKOTRABE;0;0;0;0;1;0;1;1150308@ANKOTRABE
7047;12;115;11509;11503;1150901;115030058;ECOLE COMMUNAUTAIRE MAROTRANDRAKA;0;0;0;1;0;0;1;1150901@MAROTRANDRAKA
7048;12;115;11503;11504;1150302;115030059;ECOLE COMMUNAUTAIRE TSARASAOTRA;0;0;0;1;0;0;1;1150302@TSARASAOTRA
7049;12;115;11503;11504;1150306;115030060;CEG FENOARIVOBE;0;0;0;0;1;0;1;1150306@ANDRANOMIRAFY
7050;12;115;11503;11504;1150304;115030062;ECOLE COMMUNAUTAIRE AMBALANOMBY;0;0;0;1;0;0;1;1150304@AMBALANOMBY
7051;12;115;11503;11504;1150303;115030066;ECOLE COMMUNAUTAIRE AMBOLOTARA;0;0;0;1;0;0;1;1150303@AMBOLOTARA
7052;12;115;11503;11504;1150312;115030067;ECOLE COMMUNAUTAIRE MORARANO II;0;0;0;1;0;0;1;1150312@MORARANO
7053;12;115;11503;11504;1150312;115030068;ECOLE COMMUNAUTAIRE AMBALANIRANA;0;0;0;1;0;0;1;1150312@AMBALANIRANA
7054;12;115;11503;11504;1150306;115030069;ECOLE COMMUNAUTAIRE ANKISATRA;0;0;0;1;0;0;1;1150306@ANKISATRA
7055;12;115;11503;11504;1150312;115030070;ECOLE COMMUNAUTAIRE TSARATANANA;0;0;0;1;0;0;1;1150312@TSARATANANA
7056;12;115;11509;11503;1150903;115030071;ECOLE COMMUNAUTAIRE KIANJASOA;0;0;1;1;0;0;1;1150903@KIANJASOA
7057;12;115;11503;11504;1150305;115030072;ECOLE COMMUNAUTAIRE SOAVINARIVO;0;0;0;1;0;0;1;1150305@SOAVINARIVO
7058;12;115;11503;11504;1150302;115030073;ECOLE COMMUNAUTAIRE FIHAONANA AMBATOKELY;0;0;0;1;0;0;1;1150302@FIHAONANA AMBATOKELY
7059;12;115;11503;11504;1150312;115030074;ECOLE COMMUNAUTAIRE BEASY;0;0;0;1;0;0;1;1150312@BEASY
7060;12;115;11503;11504;1150303;115030075;ECOLE COMMUNAUTAIRE AMBOHINIERANA;0;0;0;1;0;0;1;1150303@AMBOHINERANA
7061;12;115;11503;11504;1150304;115030076;ECOLE COMMUNAUTAIRE MATAVIAKOHO;0;0;0;1;0;0;1;1150304@MATAVIAKOHO
7062;12;115;11509;11503;1150901;115030077;ECOLE COMMUNAUTAIRE AMBALAVAO;0;0;0;1;0;0;1;1150901@AMBALAVAO
7063;12;115;11503;11503;1150313;115030078;ECOLE COMMUNAUTAIRE AMBODIROFIA;0;0;0;1;0;0;1;1150313@AMBODIROFIA
7064;12;115;11509;11504;1150902;115030079;ECOLE COMMUNAUTAIRE AMBOHITRAKELY;0;0;0;1;0;0;1;1150902@AMBOHITRAKELY
7065;12;115;11509;11503;1150902;115030080;ECOLE COMMUNAUTAIRE ANKAZONDRANO;0;0;0;1;0;0;1;1150902@ANKAZONDRANO
7066;12;115;11503;11504;1150307;115030081;ECOLE COMMUNAUTAIRE VATOFOTSY;0;1;1;1;0;0;1;1150307@MAHAVELONA
7067;12;115;11503;11504;1150312;115030083;ECOLE COMMUNAUTAIRE ANKODITSOKATRA;0;0;0;1;0;0;1;1150312@ANKODITSOKATRA
7068;12;115;11503;11504;1150305;115030084;ECOLE COMMUNAUTAIRE SOANAFINDRA;0;0;0;1;0;0;1;1150305@SOANAFINDRA
7069;12;115;11503;11504;1150303;115030085;ECOLE COMMUNAUTAIRE ANTANETIBE;0;0;0;1;0;0;1;1150303@ANTANETIBE
7070;12;115;11503;11504;1150303;115030087;ECOLE COMMUNAUTAIRE AMBOHIJAFY;0;0;0;1;0;0;1;1150303@AMBOHIJAFY
7071;12;115;11503;11504;1150305;115030088;ECOLE COMMUNAUTAIRE BEMAHATAZANA;0;0;0;1;0;0;1;1150305@BEMAHATAZANA
7072;12;115;11503;11504;1150304;115031001;ECOLE PRIVEE CATHOLIQUE SAINT BENOIT AMBALANOMBY;1;0;0;1;0;0;1;1150304@AMBALANOMBY
7073;12;115;11503;11504;1150312;115031008;ECOLE PRIVEE CATHOLIQUE LA VICTOIRE ANTANETIBE;1;0;0;1;0;0;1;1150312@ANTANETIBE
7074;12;115;11509;11503;1150903;115031010;ECOLE PRIVEE CATHOLIQUE SAINT ETIENNE MIADAMANDROSO;1;0;0;1;0;0;1;1150903@MIADAMANDROSO
7075;12;115;11509;11503;1150903;115031012;ECOLE PRIVEE CATHOLIQUE SAINT IGNACE AMBOHIPIHAONANA;1;0;0;1;0;0;1;1150903@AMBOHIPIHAONANA
7076;12;115;11509;11503;1150901;115031019;COLLEGE LOVA TSARA INDRINDRA ANDRIAMPOTSY;1;0;1;1;1;0;1;1150901@ANDRIAMPOTSY
7077;12;115;11503;11504;1150310;115031020;ECOLE PRIVEE NOTRE DAME DE LOURDES VOHIMARINA;1;0;0;1;0;0;1;1150310@VOHIMARINA
7078;12;115;11509;11503;1150901;115031024;ECOLE PRIVEE STM ANDRIAMPOTSY;1;0;0;1;0;0;1;1150901@ANDRIAMPOTSY
7079;12;115;11509;11503;1150903;115031025;ECOLE PRIVEE CATHOLIQUE MIADAPAHAONINA;1;0;0;1;0;0;1;1150903@MIADAPAHONINA
7080;12;115;11503;11504;1150309;115031027;ECOLE PRIVEE PROTESTANTE FJKM FAHASOAVANA FENOARIVOBE;1;0;1;1;1;1;1;1150309@FENOARIVOBE
7081;12;115;11503;11504;1150309;115031028;COLLEGE TRINITE MASINA FENOARIVOBE;1;0;1;1;1;0;1;1150309@FENOARIVOBE
7082;12;115;11503;11504;1150302;115031031;ECOLE PRIVEE CATHOLIQUE ST JOSEPH AMBATOMITSANGAMBE;1;0;0;1;0;0;1;1150302@AMBATOMITSANGAMBE
7083;12;115;11503;11504;1150306;115031033;PRESCOLAIRE ADVENTISTE FENOARIVOBE;1;0;1;1;0;0;1;1150306@ANDRANOMIRAFY
7084;12;115;11503;11504;1150306;115031035;ECOLE PRESCOLAIRE SOLEIL EXPRESSION FRANCAISE FENOARIVOBE;1;0;1;1;0;0;1;1150306@FENOARIVOBE
7085;12;115;11503;11504;1150312;115031039;ECOLE PRIVEE FJKM FEHIZORO ANTANETIBE;1;0;0;1;0;0;1;1150312@ANTANETIBE
